age,n_rating_areas,gross_median,cliff_median,cliff_p90,cliff_max,cliff_pct_income_median,gross_pct_income_median
21,349,6042.12,0.0,1151.7119999999989,5761.440000000001,0.0,9.651948881789137
27,349,6334.4400000000005,99.48000000000047,1865.592,6337.320000000001,0.15891373801917008,10.118913738019168
40,349,7721.64,1486.6800000000003,3643.3919999999985,9096.48,2.3748881789137384,12.334888178913738
50,349,10791.0,4556.04,7570.008,15190.560000000001,7.278019169329074,17.238019169329075
60,349,16398.0,10163.04,14743.08,26323.32,16.23488817891374,26.19488817891374
64,349,18125.88,11890.920000000002,15925.032,29754.239999999998,18.995079872204478,28.95507987220447
