response_multiple,response,segment,fpl_pct,age,shock_dollars,shock_pct,net_2025,net_2026_initial,net_final,premium_factor,first_round_exit_pct,cumulative_exit_pct,rounds,diverged
1,0.0097363126360505,"Subsidised, 250% FPL",250,21,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0064011346437345,2.840816485350295,2.840816485350295,2,False
1,0.0097363126360505,"Subsidised, 390% FPL",390,21,1393.1999999999998,29.968250690482947,4648.92,6042.12,6059.72911906932,1.0029149803125148,1.2796764943696415,1.2981618512199145,3,False
1,0.1068994047063824,"Unsubsidised, 450% FPL",450,21,1393.1999999999998,29.968250690482947,4648.92,6042.12,6225.5656968045405,1.0303620024397213,11.534168932608935,13.161273411970132,6,False
1,0.0097363126360505,"Subsidised, 250% FPL",250,27,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0064011346437345,2.840816485350295,2.840816485350295,2,False
1,0.0097363126360505,"Subsidised, 390% FPL",390,27,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0024774715436149,1.1038025375145866,1.1038025375145866,2,False
1,0.1068994047063824,"Unsubsidised, 450% FPL",450,27,1455.2399999999998,29.82538121003442,4879.200000000001,6334.4400000000005,6536.180608489367,1.0318483608170679,12.00753256776811,13.78569104265942,7,False
1,0.0097363126360505,"Subsidised, 250% FPL",250,40,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0064011346437345,2.840816485350295,2.840816485350295,2,False
1,0.0097363126360505,"Subsidised, 390% FPL",390,40,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0024774715436149,1.1038025375145866,1.1038025375145866,2,False
1,0.1068994047063824,"Unsubsidised, 450% FPL",450,40,1961.1899999999996,34.04577767361923,5760.450000000001,7721.64,8064.021608867603,1.044341048667173,16.10672067129214,18.963606988991856,7,False
1,0.0097363126360505,"Subsidised, 250% FPL",250,50,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0064011346437345,2.840816485350295,2.840816485350295,2,False
1,0.0097363126360505,"Subsidised, 390% FPL",390,50,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0024774715436149,1.1038025375145866,1.1038025375145866,2,False
1,0.1068994047063824,"Unsubsidised, 450% FPL",450,50,5030.549999999999,87.32911491289741,5760.450000000001,10791.0,12021.072948343202,1.1139909666464098,38.50579343363805,45.70314665504808,8,False
1,0.0097363126360505,"Subsidised, 250% FPL",250,60,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0064011346437345,2.840816485350295,2.840816485350295,2,False
1,0.0097363126360505,"Subsidised, 390% FPL",390,60,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0024774715436149,1.1038025375145866,1.1038025375145866,2,False
1,0.1068994047063824,"Unsubsidised, 450% FPL",450,60,10637.55,184.66526052652134,5760.450000000001,16398.0,19710.6286350531,1.2020143468061568,65.1328521713775,75.06368782567154,8,False
1,0.0097363126360505,"Subsidised, 250% FPL",250,64,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0064011346437345,2.840816485350295,2.840816485350295,2,False
1,0.0097363126360505,"Subsidised, 390% FPL",390,64,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0024774715436149,1.1038025375145866,1.1038025375145866,2,False
1,0.1068994047063824,"Unsubsidised, 450% FPL",450,64,12365.43,214.66083378902687,5760.450000000001,18125.88,22107.030094961767,1.2196396933852807,70.72619747408662,80.43343451663469,7,False
2,0.019472625272101,"Subsidised, 250% FPL",250,21,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0126994060905403,5.60093058766622,5.60093058766622,2,False
2,0.019472625272101,"Subsidised, 390% FPL",390,21,1393.1999999999998,29.968250690482947,4648.92,6042.12,6077.727198476966,1.0058932935972984,2.5429772694368635,2.616757634403244,4,False
2,0.2137988094127648,"Unsubsidised, 450% FPL",450,21,1393.1999999999998,29.968250690482947,4648.92,6042.12,6443.934223314742,1.0665025384523867,21.73796733555825,27.850542830504587,9,False
2,0.019472625272101,"Subsidised, 250% FPL",250,27,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0126994060905403,5.60093058766622,5.60093058766622,2,False
2,0.019472625272101,"Subsidised, 390% FPL",390,27,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0049396995756281,2.1954212746109314,2.1954212746109314,2,False
