age_band,n,p25_cost,median_cost,p90_cost,p99_cost,within_band_ratio_p90_p25,mean_cost
0-17,14804,332.51429,972.1979307311697,7018.985911486604,40172.92419464206,21.108824861291236,3438.727364886284
18-25,6808,127.61186445064027,829.8082446340941,8123.1765809045455,49379.69133445772,63.65533969646338,4031.338216485291
26-34,9537,196.61096753229106,1213.0656263761894,13617.435948333045,68871.7331038803,69.26081550408189,5739.6313966387015
35-44,11872,319.14500000000004,1441.1713475712377,14754.8999340367,86777.95776445857,46.232589995258266,6453.199013532078
45-54,11709,504.7376771270806,2053.9134460751225,18124.849615143467,104454.24376755767,35.90944452236735,8293.17234376478
55-59,6616,836.40713876914,2952.2399313439596,23914.2939054168,117574.81083939772,28.591690334696526,10402.975718757052
60-64,6773,1113.8064417804144,3679.546037813974,29417.61751519161,141364.97695717867,26.411786116237295,12579.602980746171
