fpl_pct,age,income,n_rating_areas,gross_median,burden_median_pct,pct_areas_above_10,pct_areas_above_20,pct_areas_above_30
401,21,62756.5,349,6042.12,9.627879183829563,40.114613180515754,0.0,0.0
401,27,62756.5,349,6334.4400000000005,10.093679539171243,52.72206303724928,0.28653295128939826,0.0
401,40,62756.5,349,7721.64,12.304127859265575,81.66189111747852,3.4383954154727796,0.0
401,50,62756.5,349,10791.0,17.195031590353192,100.0,18.624641833810887,1.146131805157593
401,60,62756.5,349,16398.0,26.129564268243133,100.0,89.97134670487105,20.057306590257877
401,64,62756.5,349,18125.88,28.88287269047828,100.0,98.8538681948424,40.114613180515754
450,21,70425.0,349,6042.12,8.5795101171459,18.624641833810887,0.0,0.0
450,27,70425.0,349,6334.4400000000005,8.994589989350374,24.068767908309454,0.0,0.0
450,40,70425.0,349,7721.64,10.964345047923322,64.18338108882521,0.8595988538681949,0.0
450,50,70425.0,349,10791.0,15.322683706070286,99.42693409742121,8.595988538681947,0.5730659025787965
450,60,70425.0,349,16398.0,23.28434504792332,100.0,72.20630372492836,9.169054441260744
450,64,70425.0,349,18125.88,25.737848775292864,100.0,87.67908309455588,18.624641833810887
500,21,78250.0,349,6042.12,7.72155910543131,8.30945558739255,0.0,0.0
500,27,78250.0,349,6334.4400000000005,8.095130990415337,10.315186246418339,0.0,0.0
500,40,78250.0,349,7721.64,9.867910543130991,46.41833810888252,0.0,0.0
500,50,78250.0,349,10791.0,13.790415335463258,94.26934097421203,5.157593123209169,0.0
500,60,78250.0,349,16398.0,20.95591054313099,100.0,56.73352435530086,5.730659025787966
500,64,78250.0,349,18125.88,23.16406389776358,100.0,71.63323782234957,8.30945558739255
600,21,93900.0,349,6042.12,6.434632587859425,4.011461318051576,0.0,0.0
600,27,93900.0,349,6334.4400000000005,6.74594249201278,5.157593123209169,0.0,0.0
600,40,93900.0,349,7721.64,8.223258785942493,11.461318051575931,0.0,0.0
600,50,93900.0,349,10791.0,11.492012779552715,70.48710601719198,1.146131805157593,0.0
600,60,93900.0,349,16398.0,17.463258785942493,100.0,20.057306590257877,1.146131805157593
600,64,93900.0,349,18125.88,19.30338658146965,100.0,40.68767908309456,4.011461318051576
