sample,dimension,group,n_2024,n_2025,n_2026,change_2024_25_pct,change_2025_26_pct,share_2025_pct,share_2026_pct
all,Income,FPL_200_250,2364853,2461409,2330080.0,4.082959913364603,-5.335521240070218,10.350497670662952,10.306391419679676
all,Income,FPL_250_300,1449692,1631083,1509916.0,12.512381940439754,-7.428622577759681,6.858884806286944,6.678648504273268
all,Income,FPL_300_400,1539250,1673302,1801068.0,8.708916680201394,7.635561303339156,7.036420380893894,7.966469726987757
all,Income,FPL_400_500,632538,679333,401607.0,7.397974509041361,-40.88215941224701,2.856670563122372,1.776384904760049
all,Income,FPL_GT500,778686,860060,665512.0,10.450168617388789,-22.62028230588563,3.616647630129888,2.9436874126613075
all,Income,FPL_OTHR,700844,758724,850621.0,8.258613899812218,12.112046014097345,3.1905185179204585,3.7624600768211156
all,Age,Age_0_17,2121962,2527617,2615064.0,19.11697758960811,3.45966180794004,10.628909649240772,11.566930393597305
all,Age,Age_18_25,2141446,2611633,2416962.0,21.956519099711123,-7.453995258905055,10.982206241679663,10.69068719464217
all,Age,Age_26_34,3439016,3968047,3626596.0,15.383208452650399,-8.605014003110345,16.6860774583099,16.041130732440358
all,Age,Age_35_44,3885882,4522403,4373508.0,16.380348142326497,-3.2923868129399403,19.01720588382473,19.344865981039458
all,Age,Age_45_54,3986087,4423798,4162362.0,10.980969557362897,-5.909763510901723,18.602560929322767,18.41092666449252
all,Age,Age_55_64,4953506,5321598,5006392.0,7.430938813842158,-5.9231456415911214,22.377909442601624,22.144233482263687
all,Age,Age_GE65,350757,405485,406964.0,15.602824747617294,0.36474838773321583,1.7051093694663368,1.800079944773793
published,Income,FPL_LT100,383909,548650,304331.0,42.91147120802066,-44.53093957896655,2.2559887939467047,1.3156925423438643
published,Income,FPL_100_150,9407463,10902026,10705241.0,15.88699312450126,-1.8050314684628366,44.82793855338671,46.28120614624791
published,Income,FPL_150_200,3662174,4324050,4105264.0,18.07330836819878,-5.0597472277147615,17.78002067705322,17.747995534969302
published,Income,FPL_200_250,2469334,2509696,2375840.0,1.6345297962932603,-5.333554342836743,10.319595465620832,10.271299899787557
published,Income,FPL_250_300,1530063,1709420,1560548.0,11.722197059859617,-8.708918814568689,7.028948080102754,6.746606049234659
published,Income,FPL_300_400,1637070,1776223,1907986.0,8.500125223722875,7.4181563913990445,7.303634709833952,8.248660015235059
published,Income,FPL_400_500,674008,724961,401775.0,7.55970255545928,-44.57977739492194,2.980960342747466,1.7369652490223018
published,Income,FPL_GT500,825916,911808,665838.0,10.399604802425433,-26.976073910296904,3.7492547712220126,2.8785700142580084
published,Income,FPL_OTHR,856213,912879,1079215.0,6.618212991393491,18.221034770215994,3.7536586060863466,4.6656933637573355
published,Age,Age_0_17,2158619,2566487,2652746.0,18.894858240384238,3.3609755280272324,10.55311384636817,11.468427892434608
published,Age,Age_18_25,2190838,2658957,2463133.0,21.367120709062014,-7.3646922458693425,10.933340372890092,10.648687510970193
published,Age,Age_26_34,3534216,4055954,3710206.0,14.76248197620067,-8.524455652110452,16.677639246811836,16.04006941376153
published,Age,Age_35_44,3979300,4612476,4463729.0,15.911743271429657,-3.2248839885562597,18.96599684379499,19.297721744889728
published,Age,Age_45_54,4088389,4518989,4254645.0,10.532265887614912,-5.84962698515088,18.581588524502735,18.393803775562173
published,Age,Age_55_64,5136885,5493907,5171702.0,6.950165323926849,-5.864769825918059,22.59034471336072,22.358451004415745
published,Age,Age_GE65,357890,412938,414440.0,15.381262399061168,0.36373499169366497,1.6979558928183076,1.791718941708177
