specification,metric,tilt,calibrated_response,retention_pct,morbidity_rise_pct,model_change_above_400_pct,model_change_below_400_pct,observed_change_above_400_pct,observed_change_below_400_pct,rounds,calibrated_response_above_400,response_ratio_above_to_below
"Primary: raked to OEP, own-age benchmark, Tweedie cost",pp_income,1.0,0.01539844455030499,94.79708427282829,-0.07202024403516472,-6.874933555681665,-5.1089807950099555,-34.64520149805753,-3.548831022201293,2,,
"Primary: raked to OEP, own-age benchmark, Tweedie cost",pp_income,1.5,0.014284775960555187,94.79708427282827,1.1786320873854006,-5.132006145860231,-5.2068994686107,-34.64520149805753,-3.548831022201293,2,,
"Primary: raked to OEP, own-age benchmark, Tweedie cost",pp_income,2.0,0.012528630073192031,94.79708427282829,1.7435718529889677,-4.160631469878311,-5.261471861761166,-34.64520149805753,-3.548831022201293,2,,
Cost 75/25 blend of prediction and realised cost,pp_income,1.0,0.015398620331369399,94.79708427282827,-0.07814986809747682,-6.87391387273064,-5.109038081390011,-34.64520149805753,-3.548831022201293,2,,
Cost 75/25 blend of prediction and realised cost,pp_income,1.5,0.014309450980532108,94.79708427282829,1.4363492592656124,-5.40884900922066,-5.191346275848147,-34.64520149805753,-3.548831022201293,2,,
Cost 75/25 blend of prediction and realised cost,pp_income,2.0,0.012597029653237349,94.79708427282827,2.075695637798436,-4.522983434780244,-5.24111471803856,-34.64520149805753,-3.548831022201293,3,,
Cost 50/50 blend of prediction and realised cost,pp_income,1.0,0.015398796008009495,94.79708427282827,-0.08427744189443143,-6.872894866650725,-5.1090953297430985,-34.64520149805753,-3.548831022201293,2,,
Cost 50/50 blend of prediction and realised cost,pp_income,1.5,0.014331554814085677,94.79708427282829,1.8649165594081252,-5.71257549227694,-5.174282745725932,-34.64520149805753,-3.548831022201293,3,,
Cost 50/50 blend of prediction and realised cost,pp_income,2.0,0.012674654294896125,94.79708427282829,2.597387736226686,-4.927571027559026,-5.218384752225319,-34.64520149805753,-3.548831022201293,3,,
Proportional price metric,proportional,1.0,0.03415345435531089,94.79708427282827,0.15505349023274828,-2.1515767140001856,-5.374341724142312,-34.64520149805753,-3.548831022201293,2,,
Proportional price metric,proportional,1.5,0.03098554857058717,94.79708427282827,1.327309207734162,-1.613531303775929,-5.404569427607896,-34.64520149805753,-3.548831022201293,2,,
Proportional price metric,proportional,2.0,0.02680551864449638,94.79708427282827,1.8561479091625532,-1.3150804155134495,-5.421336571752249,-34.64520149805753,-3.548831022201293,2,,
Everyone priced at the age-40 benchmark,pp_income,1.0,0.016048763402438687,94.79708427282826,0.10663041390022165,-3.0391739425933935,-5.324475996616428,-34.64520149805753,-3.548831022201293,2,,
Everyone priced at the age-40 benchmark,pp_income,1.5,0.014673017515057847,94.79708427282827,1.2781774885411101,-2.6240545495865746,-5.347797645079893,-34.64520149805753,-3.548831022201293,2,,
Everyone priced at the age-40 benchmark,pp_income,2.0,0.012776752486190424,94.79708427282829,1.808141925100859,-2.321023449446116,-5.364822108186203,-34.64520149805753,-3.548831022201293,3,,
"Earlier specification: MEPS non-group mix, age-40 benchmark, 50/50 cell-mean blend, proportional metric",proportional,1.0,0.06963820289462902,94.79708427282826,0.46569359877275396,-2.2163488205312802,-9.45142992363543,-34.64520149805753,-3.548831022201293,3,,
"Earlier specification: MEPS non-group mix, age-40 benchmark, 50/50 cell-mean blend, proportional metric",proportional,1.5,0.059869534594980844,94.79708427282826,2.019261447890508,-2.0616457716089798,-9.671501370259023,-34.64520149805753,-3.548831022201293,3,,
"Earlier specification: MEPS non-group mix, age-40 benchmark, 50/50 cell-mean blend, proportional metric",proportional,2.0,0.05013724830960137,94.79708427282827,2.594857592159272,-1.9174940414476254,-9.876563132201682,-34.64520149805753,-3.548831022201293,3,,
Two responses: above and below 400% FPL,pp_income,1.0,0.010696482729144918,94.79708427296163,-0.9109397944569109,-34.64520149820177,-3.5488310220523687,-34.64520149805753,-3.548831022201293,3,0.08838850584561442,8.263324317327275
Two responses: above and below 400% FPL,pp_income,1.5,0.00973631263605057,94.79708427302702,0.33922211606960406,-34.645201497958894,-3.548831021996932,-34.64520149805753,-3.548831022201293,3,0.10689940470638248,10.979454820561829
Two responses: above and below 400% FPL,pp_income,2.0,0.008450768072179926,94.79708427303595,0.9823538082357919,-34.64520149795105,-3.5488310219879793,-34.64520149805753,-3.548831022201293,2,0.11872062434213149,14.048501074471778
