age_band,n,mean_cost,median_cost,pct_chronic,pct_zero_cost,cost_relativity
0-17,14804,3438.727364886284,940.286515,8.777168152380566,10.324973358006046,0.852998974589715
18-25,6808,4031.338216485291,773.14261,22.87464161169736,20.0959039809629,1.0
26-34,9537,5739.6313966387015,1208.58515,31.984722470355358,17.04171885559909,1.423753376277811
35-44,11872,6453.199013532078,1455.16605,44.3755144310566,13.381567324114673,1.600758524090861
45-54,11709,8293.17234376478,2069.7809700000003,61.43210530313493,10.437624185591549,2.0571760290048684
55-59,6616,10402.975718757052,2857.218995,75.22607512629672,6.509210219408251,2.5805266539573184
60-64,6773,12579.602980746171,3689.37654,83.07665943773449,5.423724853078315,3.120453384264458
