year,issuer_state_pairs,life_years,member_months,premium_pmpm,claims_pmpm,simple_loss_ratio,regulatory_mlr,rebate_liability,rebate_per_life_year
2021,678,14844547.303991092,178252979.68789312,549.9456646212576,485.89138063210964,0.8835261588374161,0.9040755000650572,317926422.34857196,21.417050708113848
2022,693,16891475.608536385,202697787.9824366,523.0706405666435,462.10349061825934,0.8834437545905113,0.8775904914243154,612009662.8147807,36.231864935795876
2023,628,18677051.220182016,224124608.88218427,574.9339393058889,486.09340274335574,0.845476966154078,0.8631212770437238,1293174005.372498,69.23866032851707
2024,579,22428434.906186953,269141200.7142434,587.1556902165406,513.302274794411,0.8742183433581427,0.8706468255186759,1226826982.249735,54.69962515803147
