metric,response,tilt,retention_pct,morbidity_rise_pct,rounds,spiral,retention_above_400_pct,retention_below_400_pct
pp_income,0.005,1.0,98.31041502836801,-0.022610788902077683,2,False,97.76476899575573,98.34106973921125
pp_income,0.005,1.5,98.18093322739516,0.3985329489024858,2,False,98.24162588052857,98.17752347891182
pp_income,0.005,2.0,97.92631790409389,0.6734721564294333,2,False,98.38903060032966,97.90032243622855
pp_income,0.01,1.0,96.62097722759607,-0.045953760154648915,2,False,95.53225934855551,96.68214203000855
pp_income,0.01,1.5,96.359667826332,0.8119125698162755,2,False,96.44304343206153,96.35498373640506
pp_income,0.01,2.0,95.8490466211248,1.3763094740666837,2,False,96.71305707915252,95.80050601206068
pp_income,0.02,1.0,93.24257520871238,-0.09498180767355535,2,False,91.07599590001043,93.3642948919094
pp_income,0.02,1.5,92.71006676610801,1.686772241177037,3,False,92.71609294234811,92.70972821202879
pp_income,0.02,2.0,91.68285759500276,2.8784090213413993,3,False,93.14803897174625,91.60054285476352
pp_income,0.04,1.0,86.4878676380217,-0.2035941982329592,3,False,82.20220939248362,86.72863840595183
pp_income,0.04,1.5,85.37870308977985,3.6582397196315064,3,False,84.66738561992763,85.41866531813454
pp_income,0.04,2.0,83.29753299106973,6.338847583482621,3,False,85.0399406485347,83.19964351745806
