model,term,coef,se,t,p,n_cells,n_counties,n_states
County difference in differences,exposed_post,-31.34816316805789,4.520203806011248,-6.935121625792437,4.0587181612027535e-12,23375,2048,30
County difference in differences,notch_post,22.315333292659343,2.643546391311654,8.441438124937577,3.1345684133498524e-17,23375,2048,30
"County, by 2025 average premium",exposed_post,-30.583219292736658,4.356243767176344,-7.020548189515178,2.2099942026188e-12,23375,2048,30
"County, by 2025 average premium",notch_post,22.11635564291793,2.6391981439073326,8.379952711763682,5.294897212218934e-17,23375,2048,30
"County, by 2025 average premium",exposed_lprem,11.969977725681527,5.432344371662713,2.2034644541538517,0.0275620296593879,23375,2048,30
"County, by 2025 average premium",exposed_post_lprem,-72.2866960100199,13.875343036846191,-5.2097231627399365,1.8912260697065345e-07,23375,2048,30
