band,segment,subsidised_in_2026,fpl_points,mean_payment_rise,shock_pp_of_income,observed_change_pct,placebo_change_pct,pct_lost_per_pp_income
FPL_100_150,100-150%,True,125,410.8125,2.1,-3.0499753374535366,16.882954216418476,-1.4523692083112079
FPL_150_200,150-200%,True,175,1214.005625,4.395,-6.535598939870968,16.1869546274501,-1.4870532286395832
FPL_200_250,200-250%,True,225,1631.43,4.5200000000000005,-5.7472749385998,4.427669545117108,-1.2715210041149998
FPL_250_300,250-300%,True,275,1888.6999999999998,4.199999999999999,-8.170089361841848,10.826273698247114,-1.945259371867107
FPL_300_400,300-400%,True,350,1634.1149999999989,2.7099999999999973,8.713163409865231,7.2631330181538445,3.215189450134775
FPL_400_500,400-500%,False,450,4471.800575005899,6.043416116824206,-45.91418434826878,7.197898871837438,-7.597389201853691
FPL_GT500,Above 500%,False,550/650/800,3301.540889165966,3.047596994658651,-25.81532522630897,10.43067667930866,-8.470714885056658
