outcome,period,weighted,slope,intercept,se,t,p,n
Whole-state enrollment change,2025-26,False,-0.061463717038396745,-7.351189776821539,0.1419633509891048,-0.4329548197486116,0.6650475929736805,30
Change above 400% FPL,2025-26,True,-1.3692788045202042,0.9032860988219982,0.20845993737399965,-6.568546559925182,5.080874624249597e-11,30
Change above 400% FPL,2024-25 (placebo),True,0.08222238903874834,6.853192195038669,0.152682030339207,0.53852040646878,0.5902178207684632,30
Above-400% change less 100-400% change,2025-26,True,-2.0124119092924015,23.82818908038506,0.4274315308977756,-4.708150344139421,2.499747074237587e-06,30
Above-400% change less 100-400% change,2024-25 (placebo),True,0.25633726059382766,-12.05984326598522,0.4000022298437374,0.640839579054264,0.5216269151328782,30
"Change above 400% FPL, unweighted",2025-26,False,-1.1470235607426063,-3.299492096102746,0.2178828769142327,-5.264404330378472,1.4064461413529562e-07,30
