mlr_band,n_issuer_states,life_years,pct_of_market,rebate_liability
under 70%,98,449630.5741666666,2.0070815314039883,440516725.94464177
70-80%,65,2246191.855016667,10.026653984884287,729052263.7804581
80-90%,155,11876918.535266668,53.01673242818074,31181434.467509195
90-100%,119,5925333.6966536185,26.44977568974415,0.0
over 100%,104,1812759.328416667,8.091878039407401,0.0
