sample,scenario,scenario_label,band,segment,is_control,n_2025,n_2026,control_drift_pct,extra_credit_per_person,share_of_full_reduction,coverage_gained,coverage_gained_net_of_bunching,annual_cost,cost_per_person_year_gained,marginal_share_pct
HealthCare.gov (30),cliff_only,"2026 schedule, 9.96% cap extended above 400%",FPL_300_400,300-400%,False,939521,1021383.0,-3.0499753374535366,0.0,0.0,0.0,0.0,0.0,,0.0
HealthCare.gov (30),cliff_only,"2026 schedule, 9.96% cap extended above 400%",FPL_400_500,400-500%,False,377134,203976.0,-3.0499753374535366,3146.1517637744437,0.78509896450073,126915.57037495829,69476.41106220681,1041035097.7532704,8202.579830651552,38.35563723522502
HealthCare.gov (30),cliff_only,"2026 schedule, 9.96% cap extended above 400%",FPL_GT500,Above 500%,False,481311,357059.0,-3.0499753374535366,1556.4998406683353,0.7208508916746011,78985.16992246648,43238.24190474815,678702681.0086757,8592.786236642964,18.114029580193886
All consistent (47),full,Restore the enhanced schedule,FPL_100_150,100-150%,True,10881871,10676743.0,-1.8850434819526862,410.8125,1.0,,,4386139483.6875,,
All consistent (47),full,Restore the enhanced schedule,FPL_150_200,150-200%,False,4291925,4066950.0,-1.8850434819526862,1203.680625,1.0,144070.34753720183,144070.34753720183,5068723603.811296,35182.282061910424,3.4212693277879977
All consistent (47),full,Restore the enhanced schedule,FPL_200_250,200-250%,False,2461409,2330080.0,-1.8850434819526862,1591.605,1.0,84930.37008130318,84930.37008130318,3843742580.0732527,45257.574839173176,3.5167704094969965
All consistent (47),full,Restore the enhanced schedule,FPL_250_300,250-300%,False,1631083,1509916.0,-1.8850434819526862,1807.5749999999998,1.0,90420.3762232617,90420.3762232617,2892728025.251762,31991.99280159126,5.650085667405164
All consistent (47),full,Restore the enhanced schedule,FPL_300_400,300-400%,False,1673302,1801068.0,-1.8850434819526862,1484.4024999999988,1.0,0.0,0.0,2673509841.869998,,0.0
All consistent (47),full,Restore the enhanced schedule,FPL_400_500,400-500%,False,679333,401607.0,-1.8850434819526862,4095.1376608332357,1.0,264920.2775627463,153125.91134920082,2729520956.31985,10303.178682399513,39.74635194698494
All consistent (47),full,Restore the enhanced schedule,FPL_GT500,Above 500%,False,860060,665512.0,-1.8850434819526862,2233.9848298491315,1.0,178335.49502911768,103079.25634638016,1885142502.6012392,10570.764402753603,21.133616687807322
All consistent (47),capped,Enhanced schedule to 600% FPL,FPL_100_150,100-150%,True,10881871,10676743.0,-1.8850434819526862,410.8125,1.0,,,4386139483.6875,,
All consistent (47),capped,Enhanced schedule to 600% FPL,FPL_150_200,150-200%,False,4291925,4066950.0,-1.8850434819526862,1203.680625,1.0,144070.34753720183,144070.34753720183,5068723603.811296,35182.282061910424,3.4212693277879977
All consistent (47),capped,Enhanced schedule to 600% FPL,FPL_200_250,200-250%,False,2461409,2330080.0,-1.8850434819526862,1591.605,1.0,84930.37008130318,84930.37008130318,3843742580.0732527,45257.574839173176,3.5167704094969965
All consistent (47),capped,Enhanced schedule to 600% FPL,FPL_250_300,250-300%,False,1631083,1509916.0,-1.8850434819526862,1807.5749999999998,1.0,90420.3762232617,90420.3762232617,2892728025.251762,31991.99280159126,5.650085667405164
All consistent (47),capped,Enhanced schedule to 600% FPL,FPL_300_400,300-400%,False,1673302,1801068.0,-1.8850434819526862,1484.4024999999988,1.0,0.0,0.0,2673509841.869998,,0.0
All consistent (47),capped,Enhanced schedule to 600% FPL,FPL_400_500,400-500%,False,679333,401607.0,-1.8850434819526862,4095.1376608332357,1.0,264920.2775627463,153125.91134920082,2729520956.31985,10303.178682399513,39.74635194698494
All consistent (47),capped,Enhanced schedule to 600% FPL,FPL_GT500,Above 500%,False,860060,665512.0,-1.8850434819526862,1008.2693694429436,0.45133223644631254,80488.55780925193,46522.99129803451,752169512.0264187,9345.048942347417,10.789342845214385
All consistent (47),below_only,Enhanced schedule to 400% FPL only,FPL_100_150,100-150%,True,10881871,10676743.0,-1.8850434819526862,410.8125,1.0,,,4386139483.6875,,
All consistent (47),below_only,Enhanced schedule to 400% FPL only,FPL_150_200,150-200%,False,4291925,4066950.0,-1.8850434819526862,1203.680625,1.0,144070.34753720183,144070.34753720183,5068723603.811296,35182.282061910424,3.4212693277879977
All consistent (47),below_only,Enhanced schedule to 400% FPL only,FPL_200_250,200-250%,False,2461409,2330080.0,-1.8850434819526862,1591.605,1.0,84930.37008130318,84930.37008130318,3843742580.0732527,45257.574839173176,3.5167704094969965
All consistent (47),below_only,Enhanced schedule to 400% FPL only,FPL_250_300,250-300%,False,1631083,1509916.0,-1.8850434819526862,1807.5749999999998,1.0,90420.3762232617,90420.3762232617,2892728025.251762,31991.99280159126,5.650085667405164
All consistent (47),below_only,Enhanced schedule to 400% FPL only,FPL_300_400,300-400%,False,1673302,1801068.0,-1.8850434819526862,1484.4024999999988,1.0,0.0,0.0,2673509841.869998,,0.0
All consistent (47),below_only,Enhanced schedule to 400% FPL only,FPL_400_500,400-500%,False,679333,401607.0,-1.8850434819526862,0.0,0.0,0.0,0.0,0.0,,0.0
All consistent (47),below_only,Enhanced schedule to 400% FPL only,FPL_GT500,Above 500%,False,860060,665512.0,-1.8850434819526862,0.0,0.0,0.0,0.0,0.0,,0.0
All consistent (47),cliff_only,"2026 schedule, 9.96% cap extended above 400%",FPL_100_150,100-150%,True,10881871,10676743.0,-1.8850434819526862,0.0,0.0,,,0.0,,
All consistent (47),cliff_only,"2026 schedule, 9.96% cap extended above 400%",FPL_150_200,150-200%,False,4291925,4066950.0,-1.8850434819526862,0.0,0.0,0.0,0.0,0.0,,0.0
All consistent (47),cliff_only,"2026 schedule, 9.96% cap extended above 400%",FPL_200_250,200-250%,False,2461409,2330080.0,-1.8850434819526862,0.0,0.0,0.0,0.0,0.0,,0.0
All consistent (47),cliff_only,"2026 schedule, 9.96% cap extended above 400%",FPL_250_300,250-300%,False,1631083,1509916.0,-1.8850434819526862,0.0,0.0,0.0,0.0,0.0,,0.0
All consistent (47),cliff_only,"2026 schedule, 9.96% cap extended above 400%",FPL_300_400,300-400%,False,1673302,1801068.0,-1.8850434819526862,0.0,0.0,0.0,0.0,0.0,,0.0
All consistent (47),cliff_only,"2026 schedule, 9.96% cap extended above 400%",FPL_400_500,400-500%,False,679333,401607.0,-1.8850434819526862,3231.5245822466113,0.789112564677275,209051.91966255428,120833.5806233129,1973359310.2577028,9439.56560381289,34.2338272530392
All consistent (47),cliff_only,"2026 schedule, 9.96% cap extended above 400%",FPL_GT500,Above 500%,False,860060,665512.0,-1.8850434819526862,1618.0000676678465,0.7242663629802336,129162.4003750186,74656.83809269994,1285783233.5806854,9954.779640572318,16.253499586002135
