StateCode,n_rating_areas,gross_median,cliff_median,cliff_pct_income,gross_pct_income,exposed_24,exposed_25,exposed_26,exposed_change_pct,exposed_change_placebo_pct,subsidised_change_pct,subsidised_change_placebo_pct,enrolment_change_pct,enrolment_change_placebo_pct,reinsurance_1332,gap_change_pp,gap_change_placebo_pp,fitted_exposed,fitted_exposed_placebo
WV,11,27877.800000000003,21642.840000000004,34.57322683706071,44.53322683706071,5068,6276,3338.0,-46.81325685149776,23.83583267561169,-13.88119010251444,32.74379432624113,-16.73893284460537,31.475531873212393,False,-32.932066748983324,-8.907961650629439,-60.07511750605556,10.514820497186303
WY,3,27350.64,21115.68,33.73111821086262,43.69111821086262,7691,8378,3374.0,-59.72785867748867,8.93251852814978,-0.28490794248084983,10.551494621738877,-10.929828698840128,10.285390017260543,False,-59.44295073500782,-1.6189760935890973,-58.92203601309889,10.445580314110158
AK,3,26127.0,18338.28,23.450485933503835,33.410485933503836,5192,5787,3868.0,-33.16053222740626,11.459938366718037,-3.9194104134762653,4.2766605120015955,-9.246241648106901,4.6315176230701915,True,-29.241121813929993,7.183277854716441,-44.84498413864523,9.60028216743685
AR,7,19723.199999999997,13488.239999999998,21.54670926517571,31.506709265175715,10484,11922,8915.0,-25.222278141251465,13.716138878290728,-2.70220849671875,5.488122879085555,-3.7998307719081414,6.405843927793775,False,-22.520069644532715,8.228015999205173,-42.23818309816345,9.443749101570683
NE,4,18335.76,12100.8,19.330351437699683,29.29035143769968,14819,16390,8430.0,-48.566198901769376,10.60125514542143,-0.7365332466488184,16.842915400607716,-5.993386204676476,15.949848153237989,False,-47.82966565512056,-6.241660255186286,-39.203371301768065,9.261514866030874
TN,8,18029.52,11794.56,18.84115015974441,28.80115015974441,24379,27658,17064.0,-38.303564972159954,13.450100496328798,-9.943726507121298,16.810238885032767,-11.442024555623476,15.810399151148523,False,-28.359838465038656,-3.3601383887039695,-38.53351836071971,9.221291568236582
UT,6,17940.72,11705.76,18.69929712460064,28.65929712460064,29541,32168,18757.0,-41.69049987565282,8.8927253647473,-4.69698623136523,16.27609727715571,-8.19028656758871,14.975513641231931,False,-36.99351364428759,-7.3833719124084105,-38.33928200634049,9.209628072794665
KS,7,17918.760000000002,11683.800000000005,18.66421725239617,28.62421725239617,10713,12106,7292.0,-39.76540558400793,13.002893680575012,-1.189293031364691,16.964749584372395,-3.616668166321746,16.72929698440855,False,-38.57611255264324,-3.9618559037973835,-38.29124788086563,9.206743721894838
FL,67,17814.12,11579.16,18.4970607028754,28.4570607028754,133494,142447,82026.0,-42.416477707498224,6.706668464500276,-2.025431306278891,12.82673250733437,-4.152603309319247,12.429372763183943,False,-40.391046401219334,-6.120064042834094,-38.06236396057011,9.192999711049767
MT,4,17681.940000000002,11446.98,18.285910543130992,28.24591054313099,10961,12428,9398.0,-24.38043128419698,13.38381534531521,-2.1831580314244925,17.397766683181516,-5.135908625891917,16.408888084901108,True,-22.197273252772487,-4.013951337866306,-37.773240522261034,9.175638440469669
DE,1,17627.04,11392.080000000002,18.198210862619813,28.158210862619807,6901,7451,5105.0,-31.485706616561536,7.969859440660776,-13.464612533302445,20.163131228773445,-15.620335909013615,18.038892110075366,True,-18.021094083259094,-12.193271788112668,-37.65315520857388,9.168427563220105
LA,8,17444.28,11209.32,17.90626198083067,27.866261980830668,12681,13890,8606.0,-38.04175665946724,9.533948426780213,3.8718320456589073,39.19798499989782,1.2471245144951792,37.88407147529567,False,-41.913588705126145,-29.664036573117606,-37.25339579273663,9.14442282868221
AZ,7,17036.28,10801.32,17.25450479233227,27.214504792332267,30200,33277,22243.0,-33.15803708266971,10.18874172185431,-14.753866452657205,23.36930073333221,-15.573784055315876,21.53969918547356,False,-18.4041706300125,-13.1805590114779,-36.3609584888321,9.090833795570694
TX,27,17019.12,10784.16,17.22709265175719,27.18709265175719,116689,126158,80158.0,-36.4622140490496,8.11473232266966,6.982140930516256,14.471640117776063,5.194030799051785,13.820512467313616,False,-43.44435497956586,-6.3569077951064035,-36.323423625756114,9.088579903883945
MO,10,16970.94,10735.98,17.150127795527155,27.110127795527156,22079,25306,16657.0,-34.1776653758002,14.615698174736181,-11.893368887577271,16.21036515348695,-12.294004796163073,16.036719917410803,False,-22.28429648822293,-1.5946669787507695,-36.218037279427385,9.082251669532688
