premium_path,claims_trend_pct,premium_factor_2024_to_2026,projected_mlr_2026,binds_floor,rebate_pct_of_premium,rebate_per_enrollee_year,breakeven_trend_pct
Average premium of plans selected,4.0,1.2247933884297522,0.7688575194615451,True,3.114248053845492,268.7512885251225,6.085346620863086
Average premium of plans selected,6.0,1.2247933884297522,0.7987133033163759,True,0.12866966836241334,11.103848687903652,6.085346620863086
Average premium of plans selected,8.0,1.2247933884297522,0.8291377687684414,False,0.0,0.0,6.085346620863086
Average premium of plans selected,10.0,1.2247933884297522,0.8601309158177419,False,0.0,0.0,6.085346620863086
Average premium of plans selected,12.0,1.2247933884297522,0.8916927444642772,False,0.0,0.0,6.085346620863086
Benchmark for 2025-26,4.0,1.2722378666563243,0.7401851738275478,True,5.981482617245226,536.1813239819538,8.120524023089892
Benchmark for 2025-26,6.0,1.2722378666563243,0.7689275714798749,True,3.107242852012515,278.5338841447358,8.120524023089892
Benchmark for 2025-26,8.0,1.2722378666563243,0.7982174433731987,True,0.17825566268013793,15.9788740249044,8.120524023089892
Benchmark for 2025-26,10.0,1.2722378666563243,0.8280547895075193,False,0.0,0.0,8.120524023089892
Benchmark for 2025-26,12.0,1.2722378666563243,0.8584396098828365,False,0.0,0.0,8.120524023089892
