control,period,post,control_change_pct,n_300_400_start,n_300_400_end,counterfactual_300_400,excess,lost_400_500,lost_above_400,pre_gap_pct,placebo_excess,adjusted_excess,excess_as_pct_of_400_500_loss,adjusted_as_pct_of_400_500_loss,excess_as_pct_of_all_loss,sample
100-300% pooled,2025-26,1,-4.352173736893928,939521,1021383.0,898631.4137853968,122751.58621460316,173158.0,297410.0,-6.595248320731151,-66338.96227055578,182018.55944184714,70.88993070756369,105.1170372964848,41.27352349100674,HealthCare.gov (30)
250-300% only,2025-26,1,-8.170089361841848,939521,1021383.0,862761.2947267299,158621.70527327014,173158.0,297410.0,-3.2150685583770877,-31209.656111157383,186360.07239387627,91.60518444037824,107.62429249233433,53.334355022786774,HealthCare.gov (30)
200-300% pooled,2025-26,1,-6.656666883995632,939521,1021383.0,876980.2167248154,144402.78327518457,173158.0,297410.0,0.48932767284182166,4574.949750014697,140111.47638940183,83.39365393177593,80.915393103063,48.55343911609717,HealthCare.gov (30)
100-300% pooled,2025-26,1,-3.542971017561869,1673302,1801068.0,1614017.395103717,187050.604896283,277726.0,472274.0,-4.940365443487449,-86963.55099496944,266788.9625358633,67.35077194655271,96.06193245712079,39.60637360860073,All consistent-reporting states (47)
250-300% only,2025-26,1,-7.428622577759681,1673302,1801068.0,1548998.7098338958,252069.2901661042,277726.0,472274.0,-3.3804859470949467,-58544.83901821892,304432.9738727212,90.7618624709621,109.61630307307244,53.373526843761084,All consistent-reporting states (47)
200-300% pooled,2025-26,1,-6.169737167476441,1673302,1801068.0,1570063.6645818735,231004.33541812655,277726.0,472274.0,1.3258070090006013,21894.476691191318,210188.3213073283,83.17706495543325,75.68190277731588,48.91320195863557,All consistent-reporting states (47)
