sample,scenario,scenario_label,annual_cost,coverage_gained,coverage_gained_net_of_bunching,cost_per_person_year,cost_per_person_year_net_of_bunching,cost_per_person_year_excl_control,share_cost_above_400_pct,share_coverage_above_400_pct,cbo_implied_cost_per_insured
HealthCare.gov (30),full,Restore the enhanced schedule,14895325350.054678,457970.4554668493,335218.86925224616,32524.642522781454,44434.626795564465,24636.36503757258,16.601057702273742,59.22382895593362,9210.526315789473
HealthCare.gov (30),capped,Enhanced schedule to 600% FPL,14286372125.493746,398125.2364219908,302458.26292014256,35884.115897518685,47234.19352992101,26810.091690420082,13.046197560660543,53.09445391336227,9210.526315789473
HealthCare.gov (30),below_only,Enhanced schedule to 400% FPL only,12422543793.750692,186742.81625245232,186742.81625245232,66522.20440414162,66522.20440414162,47176.892465254336,0.0,0.0,9210.526315789473
HealthCare.gov (30),cliff_only,"2026 schedule, 9.96% cap extended above 400%",1719737778.7619462,205900.74029742478,112714.65296695496,8352.266127250321,15257.446423280291,8352.266127250321,100.0,100.0,9210.526315789473
All consistent (47),full,Restore the enhanced schedule,23479506993.6149,762676.8664336307,575626.2615373477,30785.655140437015,40789.49930273726,25034.675037687055,19.65400491661097,58.11842368637476,9210.526315789473
All consistent (47),capped,Enhanced schedule to 600% FPL,22346534003.040077,664829.929213765,519069.996489002,33612.40675411128,43051.099378103914,27015.021030405074,15.580449602934447,51.9544653743977,9210.526315789473
All consistent (47),below_only,Enhanced schedule to 400% FPL only,18864843534.69381,319421.0938417667,319421.0938417667,59059.47947206951,59059.47947206951,45327.952130107915,0.0,0.0,9210.526315789473
All consistent (47),cliff_only,"2026 schedule, 9.96% cap extended above 400%",3259142543.8383884,338214.3200375729,195490.41871601285,9636.323333312215,16671.622912491253,9636.323333312215,100.0,100.00000000000001,9210.526315789473
